body_subtype,make_model,body_type
Large,Volvo S90 Plug-In Hybrid,sedan
Large,Volvo S90 Recharge (2021+),sedan
Mid-size,Buick Regal,sedan
Mid-size,Buick Regal Sportback,sedan
Mid-size,Chevrolet Malibu,sedan
Mid-size,Chevrolet Malibu Hybrid,sedan
Mid-size,Chevrolet Malibu Limited,sedan
Mid-size,Chrysler 200,sedan
Mid-size,Dodge Avenger,sedan
Mid-size,Ford Fusion,sedan
Mid-size,Ford Fusion Energi (plug-in hybrid),sedan
Mid-size,Ford Fusion Hybrid,sedan
Mid-size,Honda Accord,sedan
Mid-size,Honda Accord Hybrid,sedan
Mid-size,Honda Clarity Electric,sedan
Mid-size,Honda Clarity Fuel Cell,sedan
Mid-size,Honda Clarity Plug in Hybrid,sedan
Mid-size,Hyundai Genesis (before 2017),sedan
Mid-size,Hyundai Ioniq 6 (electric),sedan
Mid-size,Hyundai Sonata,sedan
Mid-size,Hyundai Sonata Hybrid,sedan
Mid-size,Hyundai Sonata Plug-In Hybrid,sedan
Mid-size,Kia K5,sedan
Mid-size,Kia Optima,sedan
Mid-size,Kia Optima Hybrid,sedan
Mid-size,Kia Optima Plug in Hybrid,sedan
Mid-size,Mazda Mazda6,sedan
Mid-size,Nissan Altima,sedan
Mid-size,Nissan Altima Hybrid,sedan
Mid-size,Subaru Legacy,sedan
Mid-size,Toyota Camry,sedan
Mid-size,Toyota Camry Hybrid,sedan
Mid-size,Volkswagen Arteon,sedan
Mid-size,Volkswagen CC,sedan
Mid-size,Volkswagen Passat,sedan
Mid-size,Acura TL,sedan
Mid-size,Acura TLX,sedan
Mid-size,Acura TSX,sedan
Mid-size,Alfa Romeo Giulia,sedan
Mid-size,Audi A5,sedan
Mid-size,Audi A5 Sportback,sedan
Mid-size,Audi A6,sedan
Mid-size,Audi RS5,sedan
Mid-size,Audi S5 Sportback,sedan
Mid-size,Audi S6,sedan
Mid-size,BMW 528,sedan
Mid-size,BMW 530,sedan
Mid-size,BMW 530e Plug-in Hybrid,sedan
Mid-size,BMW 535,sedan
Mid-size,BMW 540,sedan
Mid-size,BMW 550,sedan
Mid-size,BMW 640,sedan
Mid-size,BMW 650,sedan
Mid-size,BMW Activehybrid 5,sedan
Mid-size,BMW Alpina B6,sedan
Mid-size,BMW M5,sedan
Mid-size,BMW M550,sedan
Mid-size,BMW M6 Gran Coupe,sedan
Mid-size,Cadillac CT5,sedan
Mid-size,Cadillac CT5-V,sedan
Mid-size,Cadillac CTS,sedan
Mid-size,Cadillac CTS-V,sedan
Mid-size,Genesis Electrified G80,sedan
Mid-size,Genesis G80,sedan
Mid-size,Infiniti M35,sedan
Mid-size,Infiniti M35H,sedan
Mid-size,Infiniti M37,sedan
Mid-size,Infiniti M45,sedan
Mid-size,Infiniti M56,sedan
Mid-size,Infiniti Q70,sedan
Mid-size,Infiniti Q70 Hybrid,sedan
Mid-size,Jaguar XF,sedan
Mid-size,Lexus ES 250,sedan
Mid-size,Lexus ES 300h (hybrid),sedan
Mid-size,Lexus ES 350,sedan
Mid-size,Lexus GS 200t,sedan
Mid-size,Lexus GS 250h (hybrid),sedan
Mid-size,Lexus GS 300,sedan
Mid-size,Lexus GS 350,sedan
Mid-size,Lexus GS 460,sedan
Mid-size,Lexus GS F,sedan
Mid-size,Lincoln MKZ,sedan
Mid-size,Lincoln MKZ Hybrid,sedan
Mid-size,Mercedes-Benz CLS400,sedan
Mid-size,Mercedes-Benz CLS450,sedan
Mid-size,Mercedes-Benz CLS53 AMG,sedan
Mid-size,Mercedes-Benz CLS550,sedan
Mid-size,Mercedes-Benz CLS63 AMG,sedan
Mid-size,Mercedes-Benz E250,sedan
Mid-size,Mercedes-Benz E300,sedan
Mid-size,Mercedes-Benz E350,sedan
Mid-size,Mercedes-Benz E400,sedan
Mid-size,Mercedes-Benz E400 Hybrid,sedan
Mid-size,Mercedes-Benz E43 AMG,sedan
Mid-size,Mercedes-Benz E450,sedan
Mid-size,Mercedes-Benz E53 AMG,sedan
Mid-size,Mercedes-Benz E550,sedan
Mid-size,Mercedes-Benz E63 AMG,sedan
Mid-size,Mercedes-Benz EQE 350 (electric),sedan
Mid-size,Mercedes-Benz EQE AMG (electric),sedan
Compact,Chevrolet Colorado,truck
Compact,Ford Ranger,truck
Compact,GMC Canyon,truck
Compact,Honda Ridgeline,truck
Compact,Hyundai Santa Cruz,truck
Compact,Jeep Gladiator,truck
Compact,Nissan Frontier,truck
Compact,Rivian R1T (electric),truck
Compact,Toyota Tacoma,truck
Full-size,Chevrolet Avalanche,truck
Full-size,Chevrolet Silverado 1500,truck
Full-size,Ford F-150 Lightning (electric),truck
Full-size,Ford F150,truck
Full-size,GMC Hummer Pickup (electric),truck
Full-size,GMC Sierra 1500,truck
Full-size,Nissan Titan,truck
Full-size,Ram 1500,truck
Full-size,Ram 1500 Classic,truck
Full-size,Toyota Tundra,truck
Full-size,Chevrolet Silverado 2500,truck
Full-size,Chevrolet Silverado 3500,truck
Full-size,Ford F250,truck
Full-size,GMC Sierra 2500,truck
Full-size,GMC Sierra 3500,truck
Full-size,Nissan Titan XD,truck
Full-size,Ram 2500,truck
Full-size,Ram 3500,truck
Wagon models,Acura TSX,wagon
Wagon models,BMW 328,wagon
Wagon models,BMW 330,wagon
Wagon models,Fiat 500L,wagon
Wagon models,Ford C-Max,wagon
Wagon models,Volvo V60,wagon
Wagon models,Volvo V90,wagon
Wagon models,Audi A4 Allroad,wagon
Wagon models,Audi A6 Allroad,wagon
Wagon models,Audi Allroad,wagon
Wagon models,Buick Regal Tourx,wagon
Wagon models,Subaru Outback,wagon
Wagon models,Volkswagen Golf Alltrack,wagon
Wagon models,Volvo V60 Cross Country,wagon
Wagon models,Volvo V60 Plug-in Hybrid (before 2021),wagon
Wagon models,Volvo V60 Recharge (plug-in hybrid),wagon
Wagon models,Volvo V90 Cross Country,wagon
Wagon models,Volvo XC70,wagon
